Period,J1,C1,M1,UK1,G1,US1,J2,C2,M2,UK2,G2,US2
44,0.33283064,0.097616636,0.355139923,0.373030127,0.505114877,0.210259388,0.541987893,0.028098826,0.443292599,0.26471244,0.353981481,0.227476498
45,0.325526982,0.092640095,0.354540392,0.371262303,0.502623174,0.215548615,0.544081948,0.039080423,0.454010648,0.275994791,0.362820569,0.233531322
46,0.34810634,0.141710513,0.406008883,0.392521955,0.516193105,0.228751041,0.544896666,0.044435433,0.458923625,0.285899134,0.369236295,0.244177302
47,0.34384681,0.138515659,0.397827363,0.387757071,0.511770046,0.222641049,0.535490505,0.029114666,0.447477877,0.275430955,0.360355137,0.232853708
48,0.35795975,0.161718249,0.401598112,0.393343887,0.517183854,0.235179305,0.538414855,0.038220133,0.442419247,0.270723879,0.357158593,0.233392301
49,0.39344934,0.169650999,0.524263329,0.291284359,0.414835056,0.265798971,0.414006184,0.082052913,0.412699178,0.257301615,0.346649498,0.268506077
50,0.411686819,0.179737613,0.538988066,0.308338704,0.426824504,0.277604309,0.431413829,0.099763255,0.428362052,0.274392948,0.360104874,0.294007599
51,0.439778942,0.211611879,0.537350653,0.327377821,0.442054723,0.298636339,0.446274605,0.118165272,0.413233729,0.282788487,0.367764152,0.303905024
52,0.444086001,0.229537044,0.543579005,0.332935084,0.445943062,0.304068407,0.446553191,0.13339764,0.415836685,0.283704183,0.368629138,0.306295043
53,0.427528918,0.196105212,0.528474171,0.321111974,0.436029858,0.285636172,0.450495521,0.13362955,0.419655467,0.293248495,0.375889439,0.311124152
54,0.392111402,0.160519413,0.525300968,0.286363274,0.410247737,0.253425933,0.449971616,0.149755448,0.447361282,0.293054927,0.376672022,0.317374032
55,0.393572953,0.163285269,0.523049624,0.286863168,0.410014119,0.255514965,0.447372196,0.143716275,0.438431569,0.290281656,0.371927092,0.314104553
56,0.405601549,0.118178374,0.537547366,0.315758132,0.435388841,0.290603528,0.432925909,0.114426365,0.408973859,0.29638866,0.368349309,0.34287616
57,0.418813859,0.127152391,0.53727098,0.330084199,0.4453637,0.302029957,0.436475329,0.107304309,0.396926134,0.301463632,0.369945559,0.34270053
58,0.43142437,0.154713197,0.547360887,0.348296683,0.458632416,0.319124149,0.43491586,0.11143603,0.394254641,0.306573569,0.373576359,0.346334124
59,0.427993847,0.154380534,0.54878799,0.350108336,0.459229534,0.316043111,0.438098875,0.122241516,0.40228791,0.315753838,0.380581921,0.350284399
60,0.424189749,0.146970515,0.546526457,0.337270226,0.45049264,0.308089879,0.444815885,0.133076078,0.410276078,0.313358946,0.379574263,0.353999673
